English_Queries,Intent
generate Gross Sales  Target in week Wk30?,"{'Task': 'Gross Sales', 'Customer': 'Target', 'Date': ['week Wk30']}"
display Revenue  Amazon in week Wk7 to Wk46?,"{'Task': 'Revenue', 'Customer': 'Amazon', 'Date': ['week Wk7 to Wk46']}"
fetch Max Shipment  Bacon in week Wk16?,"{'Task': 'Max Shipment', 'Sub_Category': 'Bacon', 'Date': []}"
generate Top Line  Bacon in month Jan to Dec?,"{'Task': 'Top Line', 'Sub_Category': 'Bacon', 'Date': [month, Jan, to, Dec]}"
display Net sales  Shelf Stable in week Wk19?,"{'Task': 'Net sales', 'Sub_Category': 'Shelf Stable', 'Date': ['week Wk19']}"
display Max Shipment  Ahold in quarter Q2 to Q4?,"{'Task': 'Max Shipment', 'Customer': 'Ahold', 'Date': [quarter, 'Q2 to Q4']}"
generate Max Shipment  Sauces in quarter Q3?,"{'Task': 'Max Shipment', 'Category': 'Sauces', 'Date': ['quarter Q3']}"
fetch Revenue  Tea in year 2019?,"{'Task': 'Revenue', 'Sub_Category': 'Tea', 'Date': [year, 2019]}"
fetch Top Line  Candy in quarter Q4?,"{'Task': 'Top Line', 'Category': 'Candy', 'Date': ['quarter Q4']}"
get Top Line  Publix in quarter Q1 to Q4?,"{'Task': 'Top Line', 'Customer': 'Publix', 'Date': [quarter, 'Q1 to Q4']}"
fetch Revenue  Breakfast in year 2019?,"{'Task': 'Revenue', 'Category': 'Breakfast', 'Date': [year, 2019]}"
display Net sales  Cheese in year 2019?,"{'Task': 'Net sales', 'Category': 'Cheese', 'Date': [year, 2019]}"
